PRIMEIRO_NOME,ULTIMO_NOME,CARGO,DEPARTAMENTO,EMPRESA,CIDADE,UF,NOME,CONTA,EMAIL
Travis,Garden,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Travis Garden,Travis.Garden,Travis.Garden@contoso.com
Payton,Gas,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Payton Gas,Payton.Gas,Payton.Gas@contoso.com
Alaura,Gate,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Alaura Gate,Alaura.Gate,Alaura.Gate@contoso.com
Jessica,Gemstone,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Jessica Gemstone,Jessica.Gemstone,Jessica.Gemstone@contoso.com
Tyler,Girl,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Tyler Girl,Tyler.Girl,Tyler.Girl@contoso.com
Madelyn,Gloves,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Madelyn Gloves,Madelyn.Gloves,Madelyn.Gloves@contoso.com
Chloe,God,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Chloe God,Chloe.God,Chloe.God@contoso.com
Ainsleigh,Grapes,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Ainsleigh Grapes,Ainsleigh.Grapes,Ainsleigh.Grapes@contoso.com
Joshua,Guitar,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Joshua Guitar,Joshua.Guitar,Joshua.Guitar@contoso.com
Cara,Hammer,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Cara Hammer,Cara.Hammer,Cara.Hammer@contoso.com
Jadyn,Hat,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Jadyn Hat,Jadyn.Hat,Jadyn.Hat@contoso.com
Thomas,Hieroglyph,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Thomas Hieroglyph,Thomas.Hieroglyph,Thomas.Hieroglyph@contoso.com
Savannah,Highway,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Savannah Highway,Savannah.Highway,Savannah.Highway@contoso.com
Kylie,Horoscope,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Kylie Horoscope,Kylie.Horoscope,Kylie.Horoscope@contoso.com
Alexa,Horse,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Alexa Horse,Alexa.Horse,Alexa.Horse@contoso.com
Austin,Hose,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Austin Hose,Austin.Hose,Austin.Hose@contoso.com
Conner,Ice,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Conner Ice,Conner.Ice,Conner.Ice@contoso.com
Madison,Ice-cream,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Madison Ice-cream,Madison.Ice-cream,Madison.Ice-cream@contoso.com
Peyton,Insect,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Peyton Insect,Peyton.Insect,Peyton.Insect@contoso.com
Cadence,Jet fighter,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Cadence Jet fighter,Cadence.Jet fighter,Cadence.Jet fighter@contoso.com
Luke,Junk,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Luke Junk,Luke.Junk,Luke.Junk@contoso.com
Connor,Kaleidoscope,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Connor Kaleidoscope,Connor.Kaleidoscope,Connor.Kaleidoscope@contoso.com
Avary,Kitchen,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Avary Kitchen,Avary.Kitchen,Avary.Kitchen@contoso.com
Khloe,Knife,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Khloe Knife,Khloe.Knife,Khloe.Knife@contoso.com
Trevor,Leather,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Trevor Leather,Trevor.Leather,Trevor.Leather@contoso.com
Cheyenne,Leg,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Cheyenne Leg,Cheyenne.Leg,Cheyenne.Leg@contoso.com
Jeriah,Library,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Jeriah Library,Jeriah.Library,Jeriah.Library@contoso.com
Avery,Liquid,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Avery Liquid,Avery.Liquid,Avery.Liquid@contoso.com
Cailin,Magnet,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Cailin Magnet,Cailin.Magnet,Cailin.Magnet@contoso.com
Jordan,Man,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Jordan Man,Jordan.Man,Jordan.Man@contoso.com
KaliAnna,Map,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,KaliAnna Map,KaliAnna.Map,KaliAnna.Map@contoso.com
Tyler,Maze,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Tyler Maze,Tyler.Maze,Tyler.Maze@contoso.com
Jakob,Meat,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Jakob Meat,Jakob.Meat,Jakob.Meat@contoso.com
Madison,Meteor,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Madison Meteor,Madison.Meteor,Madison.Meteor@contoso.com
Kylie,Microscope,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Kylie Microscope,Kylie.Microscope,Kylie.Microscope@contoso.com
Logan,Milk,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Logan Milk,Logan.Milk,Logan.Milk@contoso.com
Austin,Milkshake,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Austin Milkshake,Austin.Milkshake,Austin.Milkshake@contoso.com
Emma,Mist,Agent Contact Center,Contact Center,CONTOSO,Rio de Janeiro,RJ,Emma Mist,Emma.Mist,Emma.Mist@contoso.com
